"rfpr0","rfpr1","lopr1","xgpr1","lopr0","xgpr0"
0.512,0.488,0.720068645374577,0.32160273194313,0.279931354625423,0.67839726805687
0.452,0.548,0.740390425139517,0.548574864864349,0.259609574860483,0.451425135135651
0.288,0.712,0.920839297793624,0.787982225418091,0.0791607022063764,0.212017774581909
0.414,0.586,0.908198704622441,0.420115530490875,0.091801295377559,0.579884469509125
0.658,0.342,0.689620732556844,0.426466077566147,0.310379267443156,0.573533922433853
0.626,0.374,0.689242124703229,0.396394640207291,0.310757875296771,0.603605359792709
0.204,0.796,0.999999973301703,0.840362429618835,2.6698297239669e-08,0.159637570381165
0.438,0.562,0.609792194677406,0.797099888324738,0.390207805322594,0.202900111675262
0.304,0.696,0.999999889853718,0.688187599182129,1.10146282317203e-07,0.311812400817871
0.432,0.568,0.571455169338616,0.780931293964386,0.428544830661384,0.219068706035614
0.528,0.472,0.651120416686145,0.552223443984985,0.348879583313855,0.447776556015015
0.406,0.594,0.87163855644984,0.760967910289764,0.12836144355016,0.239032089710236
0.362,0.638,0.900270583105609,0.618130505084991,0.099729416894391,0.381869494915009
0.516,0.484,0.792973621723455,0.612786471843719,0.207026378276545,0.387213528156281
0.474,0.526,0.639200178713163,0.663342535495758,0.360799821286837,0.336657464504242
0.544,0.456,0.65389596805475,0.535952389240265,0.34610403194525,0.464047610759735
0.252,0.748,0.99999995568529,0.711992859840393,4.43147101236718e-08,0.288007140159607
0.322,0.678,0.917273723141189,0.85258960723877,0.0827262768588105,0.14741039276123
0.28,0.72,0.905884359123923,0.782453298568726,0.0941156408760768,0.217546701431274
0.662,0.338,0.595499732953854,0.239636287093163,0.404500267046146,0.760363712906837
0.56,0.44,0.74701222187492,0.336063534021378,0.25298777812508,0.663936465978622
0.472,0.528,0.674494480957671,0.514802515506744,0.325505519042329,0.485197484493256
0.458,0.542,0.711054135588124,0.548684120178223,0.288945864411876,0.451315879821777
0.482,0.518,0.792490330926834,0.479286104440689,0.207509669073166,0.520713895559311
0.33,0.67,0.732110327640145,0.512522995471954,0.267889672359855,0.487477004528046
0.638,0.362,0.59777796003444,0.306293725967407,0.40222203996556,0.693706274032593
0.356,0.644,0.753222857997662,0.71699583530426,0.246777142002338,0.28300416469574
0.49,0.51,0.549822355846306,0.454812735319138,0.450177644153694,0.545187264680862
0.522,0.478,0.696858591164801,0.366206973791122,0.303141408835199,0.633793026208878
0.46,0.54,0.79117724309123,0.544861972332001,0.20882275690877,0.455138027667999
0.448,0.552,0.920329682733678,0.558490812778473,0.0796703172663219,0.441509187221527
0.376,0.624,0.811801560051048,0.691961288452148,0.188198439948952,0.308038711547852
0.336,0.664,0.884651165520734,0.828216910362244,0.115348834479266,0.171783089637756
0.396,0.604,0.801048124727106,0.658952116966248,0.198951875272894,0.341047883033752
0.518,0.482,0.816907989212056,0.400028735399246,0.183092010787944,0.599971264600754
0.482,0.518,0.835068958665357,0.711041927337646,0.164931041334643,0.288958072662354
0.454,0.546,0.567754225848671,0.768576502799988,0.432245774151329,0.231423497200012
0.552,0.448,0.668337917369396,0.481090635061264,0.331662082630604,0.518909364938736
0.482,0.518,0.872345094821507,0.478148907423019,0.127654905178493,0.521851092576981
0.384,0.616,0.691302687642313,0.715523779392242,0.308697312357687,0.284476220607758
0.338,0.662,0.805454101625842,0.789744675159454,0.194545898374158,0.210255324840546
0.338,0.662,0.862352696523775,0.70519483089447,0.137647303476225,0.29480516910553
0.32,0.68,0.719806208969782,0.861909091472626,0.280193791030218,0.138090908527374
0.63,0.37,0.664638134188924,0.340056180953979,0.335361865811076,0.659943819046021
0.462,0.538,0.817075469437715,0.577691972255707,0.182924530562285,0.422308027744293
0.58,0.42,0.753494124641131,0.307570964097977,0.246505875358869,0.692429035902023
0.526,0.474,0.744275328133121,0.492447584867477,0.255724671866879,0.507552415132523
0.51,0.49,0.591399350396901,0.589203417301178,0.408600649603099,0.410796582698822
0.542,0.458,0.647418833631938,0.522758066654205,0.352581166368062,0.477241933345795
0.36,0.64,0.907289512121474,0.406880766153336,0.0927104878785258,0.593119233846664
